service_id,name,name_ja,url
2,SATORI,SATORI,https://satori.marketing/
3,Google Fonts,Google Fonts,https://fonts.google.com/
4,Google Tag Manager,Googleタグマネージャ,https://marketingplatform.google.com/about/tag-manager/
5,Google Analytics,Google アナリティクス,https://analytics.google.com/analytics/web/
6,AdRoll,AdRoll,https://www.adroll.com/
7,VWO ENGAGE,VWO ENGAGE,https://vwo.com/engage/
8,Creative Survey,クリエイティブサーベイ,https://www.ninout.ai/creativesurvey/service/enterprise/
9,OpenX,OpenX,https://www.openx.com/
10,Google+,Google+,https://plus.google.com/
11,Google Ads,Google広告,https://business.google.com/jp/google-ads/
12,Meta for Developers,Meta for Developers,https://developers.facebook.com/
13,Cloudflare,Cloudflare,https://www.cloudflare.com/
14,FlexOne,FlexOne,https://www.hakuhodody-one.co.jp/service/marketing/media-solution/flexone/
15,IM-DMP,IM-DMP,https://dmp.intimatemerger.com/
16,Adobe Audience Manager,Adobe Audience Manager,https://business.adobe.com/products/audience-manager/adobe-audience-manager.html
17,Rtoaster,Rtoaster,https://www.brainpad.co.jp/rtoaster/
18,Microsoft Invest,Microsoft Invest,https://about.ads.microsoft.com/en/solutions/technology/microsoft-invest-dsp
19,AXON,AXON,
20,MicroAd,マイクロアド,https://www.microad.co.jp/services/adplatform/
22,Rakuten Affiliate,楽天アフィリエイト,https://affiliate.rakuten.co.jp/
23,Criteo,Criteo,https://www.criteo.com/
24,FreakOut,FreakOut,https://www.fout.co.jp/
25,PubMatic,PubMatic,https://pubmatic.co.jp/
26,DataCurrent Measurement Tag,DataCurrent計測タグ,
27,Nexxen DSP,Nexxen DSP,https://nexxen.com/nexxen-dsp-ssp/
28,Verizon Media AD Platforms,Verizon Media AD Platforms,https://www.verizonmedia.com/advertising/publishers/solutions#/platforms
29,Yahoo DSP,Yahoo DSP,https://www.yahooinc.com/yahoo-dsp
30,The Trade Desk,The Trade Desk,https://www.thetradedesk.com/uk
32,Quantcast,Quantcast,https://www.quantcast.com/home
33,Yahoo SSP,Yahoo SSP,https://www.adtech.yahooinc.com/publisher
34,Audience Science,Audience Science,https://www.audiencescience.com/
35,RadiumOne,RadiumOne,https://radiumone.com/
36,TAPAD,TAPAD,https://www.tapad.com/
37,Oracle Bluekai,Oracle Bluekai,https://www.oracle.com/cx/marketing/data-management-platform/
38,Sovrn,Sovrn,https://www.sovrn.com/
40,Cinarra,シナラ,https://cinarra.co.jp/
41,Meta Ads,Meta広告,https://www.facebook.com/business/ads
43,Akamai,Akamai,https://www.akamai.com/ja
44,Akamai EdgeSuite Service,Akamai EdgeSuiteサービス,
50,StackPath,StackPath,
51,ReadscopePro,リードスコープPro,
52,mediagene,メディアジーン,
55,B-dash,B-dash,https://bdash-marketing.com/
56,Display & Video 360,Display & Video 360,https://marketingplatform.google.com/about/display-video-360/
57,Adobe Marketo Engage,Adobe Marketo Engage,https://business.adobe.com/products/marketo/adobe-marketo.html
60,15GIFTS,15GIFTS,https://www.15gifts.com/
62,Adobe Analytics,Adobe Analytics,https://business.adobe.com/products/analytics/adobe-analytics.html
64,Improve Digital ORIGIN,Improve Digital ORIGIN,https://improvedigital.com/origin/
65,triplelift,triplelift,https://triplelift.com/
69,Activecore,アクティブコア,https://www.activecore.co.jp/
70,A8.net,A8.net,https://www.a8.net/
77,AdStir,AdStir,https://ja.ad-stir.com/
78,cci AdVantage Hybrid,cci AdVantage Hybrid,
79,Sphere,Sphere,https://www.p-engine.co.jp/
83,AddThis,AddThis,
85,AddToAny,AddToAny,https://www.addtoany.com/
86,adform,adform,https://site.adform.com/
87,fluct,fluct,https://corp.fluct.jp/service/ssp/
89,DLPO,DLPO,https://dlpo.jp/product/
91,AdMatrix,AdMatrix,https://www.admatrix.jp/dsp/
93,Edge Animate,Edge Animate,
94,Adobe Experience Platform Data Collection,Adobe Experience Platform Data Collection,https://business.adobe.com/products/experience-platform/adobe-experience-platform.html
96,Pixalate,Pixalate,https://www.pixalate.com/
99,Integral Ad Science,Integral Ad Science,https://integralads.com/
100,AdScale,AdScale,https://adscale.com/
104,LinkedIn Marketing Solutions,LinkedIn マーケティングソリューション,https://business.linkedin.com/marketing-solutions
105,AJA DSP,AJA DSP,https://aja-kk.co.jp/service/aja-dsp
109,ADPLAN,ADPLAN,
111,Adify,Adify,
112,Identity Data Management Platform,Identity Data Management Platform,https://www.transunion.com/insights
117,akamaihd.net,akamaihd.net,
120,Amazon Associates,Amazonアソシエイト,https://affiliate-program.amazon.com/
122,Amazon Pay,Amazon Pay,https://pay.amazon.co.jp/
123,Amazon S3,Amazon S3,https://aws.amazon.com/s3/
129,AMoAd,AMoAd,https://www.amoad.com/
131,ForeSee CX Suite,ForeSee CX Suite,https://www.verint.com/voice-of-the-customer/predictive-modeling/
132,antenna,antenna,https://antenna.jp/
138,CrossX,CrossX,https://www.appier.com/en/products/aibid
139,App Store Badges,App Store Badges,https://developer.apple.com/app-store/marketing/guidelines/
141,AppVador,AppVador,https://supership.jp/
142,essentia,essentia,https://www.auriq.co.jp/products/essentia/
